,topic,v_lat,v_lon,Country,event_url,event_name,maxdist,mediandist,ID_event,date,venue_name,count_part
85,Tech,50.129543,14.514306,cz,https://www.meetup.com/JobsDev-cz-Meetup/events/256150880/,Veletrh Jobs Dev 2019 - veletrh pr\u00e1ce pro seniorn\u00ed program\u00e1tory,7.0,7.0,256150880,Sat May 18 10:00:00 2019,PVA Expo prague ,5
86,"Sports,Social,Outdoors,Fitness,Food&Drink",50.11127000000001,14.319345000000002,cz,https://www.meetup.com/tTPfc2015/events/257308757/,11-a-side / League: IFC Prague v Taverners,4657.252845070071,7.0,257308757,Sat Apr 13 14:00:00 2019,V Hlini\u0161ti,6
87,"Sports,Social,Outdoors,Fitness,Food&Drink",50.05957,14.425982,cz,https://www.meetup.com/tTPfc2015/events/257308838/,11-a-side / League: Taverners v Dynamo \u017di\u017ekov,7.0,7.0,257308838,Sat Apr 27 14:00:00 2019,FK Slavoj Vy\u0161ehrad,3
88,Arts,50.087425,14.409319,cz,https://www.meetup.com/Urban-Sketchers-Prague/events/257529872/,Urban Sketching: Prague Spring Opening Night,7.0,7.0,257529872,Sun May 12 15:30:00 2019,Kampa Park,2
89,Tech,50.096161,14.463786,cz,https://www.meetup.com/Prague-DevOps-Meetup/events/257613128/,Containerized World,7.0,7.0,257613128,Thu Apr  4 18:00:00 2019,Ataccama office,12
90,Tech,50.107788,14.442472,cz,https://www.meetup.com/ReactiveMeetupsPrague/events/257934542/,ReactiveMeetups Prague | Ohans Emmanuel,7.0,7.0,257934542,Wed Apr 10 18:45:00 2019,Actum Digital,22
91,Tech,50.10849,14.451846,cz,https://www.meetup.com/ProfessionalTesting/events/258119925/,"[Pro]Test!: 72. setk\u00e1n\u00ed, T\u00e9ma: Chaosin\u017een\u00fdrstv\u00ed od Tom\u00e1\u0161e Lis\u00e9ho",89.8210273904035,7.0,258119925,Mon Apr 29 18:00:00 2019,U Pergamenky 1522/2,7
92,"Games,Languages",50.08264000000001,14.424661,cz,https://www.meetup.com/Prague-Chess-club/events/258508214/,Chess evening Prague - all levels welcome!,7.0,7.0,258508214,Wed Apr 10 19:00:00 2019,\u0161achov\u00e1 kav\u00e1rna \u0160achov\u00fd V\u00e1clav\u00e1k,14
93,"Games,Languages",50.08264000000001,14.424661,cz,https://www.meetup.com/Prague-Chess-club/events/258508290/,"Chess tournament (experience recommended, 20CZK entry)",7.0,7.0,258508290,Wed Apr 24 19:00:00 2019,\u0161achov\u00e1 kav\u00e1rna \u0160achov\u00fd V\u00e1clav\u00e1k,6
94,"Tech,Business",50.0527,14.439302,cz,https://www.meetup.com/Agile-Prague-Conference/events/258624577/,Agile Prague Conference 2019,5000.0,19.871158580026567,258624577,Mon Sep 16 09:00:00 2019,OK System,5
